submission_pk,User,MAP
348321,wang203,0.6962 (1)
349801,trapido2,0.6812 (2)
349991,dk13,0.6777 (3)
350431,xiangg2,0.6772 (4)
350391,yt5,0.6771 (5)
349821,jiangwu2,0.6768 (6)
350531,rogerhk2,0.6735 (7)
348131,pavels2,0.6647 (8)
347031,deepam2,0.6645 (9)
348771,ctucker5,0.6637 (10)
345181,markcb2,0.6637 (11)
348351,lee9,0.6635 (12)
348151,jrabrah2,0.6623 (13)
348181,qil5,0.6621 (14)
348071,jaimepd2,0.6608 (15)
350161,yiw3,0.6587 (16)
349761,tk5,0.6557 (17)
350541,kuzma1,0.6557 (18)
348961,dmulley2,0.6554 (19)
347821,Hamdan,0.6553 (20)
350491,eacarr2,0.6553 (20)
348581,rgarg7,0.6549 (21)
346181,dharmk,0.6547 (22)
349861,msapoka2,0.6543 (23)
346391,hchen219,0.6540 (24)
347422,brd2,0.6529 (25)
348601,tho,0.6529 (26)
350421,aaronaf2,0.6527 (27)
349241,elamine2,0.6526 (28)
350181,dboyhan2,0.6526 (29)
350471,monroeb2,0.6525 (30)
349311,obscrivn,0.6525 (31)
350021,iljoyoo2,0.6516 (32)
345391,jasdeep2016,0.6515 (33)
345561,jdugga4,0.6515 (33)
350501,mbrandt4,0.6513 (34)
348312,skl3,0.6513 (35)
344801,mayanj2,0.6506 (36)
349151,bching3,0.6506 (37)
348341,hapu2,0.6504 (38)
350121,chohanwu,0.6503 (39)
347701,kinwong,0.6501 (40)
348671,djarvis2,0.6501 (40)
347451,gembre2,0.6500 (41)
345101,bbishop3,0.6500 (42)
350191,htruon3,0.6493 (43)
348981,bvemu2,0.6483 (44)
350331,vhari2,0.6482 (45)
348791,jaredc,0.6482 (46)
347311,thfong2,0.6477 (47)
347251,abhanot2,0.6476 (48)
347441,alokks2,0.6476 (48)
347891,dbish3,0.6476 (48)
349361,jjfinn2,0.6475 (49)
350591,hsewak,0.6475 (49)
348231,ramnath3,0.6474 (50)
349691,hardik,0.6473 (51)
347911,gress2,0.6462 (52)
348891,e_2,0.6446 (53)
349031,zsimeo2,0.6446 (53)
349681,ejezie2,0.6446 (53)
348871,c287194,0.6445 (54)
349601,lvcheng2,0.6445 (54)
344311,hkiang2,0.6444 (55)
347211,Ismini,0.6439 (56)
349981,shouldbe_xiaol2,0.6437 (57)
350551,gih2,0.6430 (58)
349751,weglarz3,0.6424 (59)
347341,rw6,0.6350 (60)
